Year,Name,Rank,Gender
1990,Michael,1,M
1990,Jessica,1,F
1990,Christopher,2,M
1990,Ashley,2,F
1990,Matthew,3,M
1990,Brittany,3,F
1990,Joshua,4,M
1990,Amanda,4,F
1990,Daniel,5,M
1990,Samantha,5,F
1990,David,6,M
1990,Sarah,6,F
1990,Andrew,7,M
1990,Stephanie,7,F
1990,James,8,M
1990,Jennifer,8,F
1990,Justin,9,M
1990,Elizabeth,9,F
1990,Joseph,10,M
1990,Lauren,10,F
1990,Ryan,11,M
1990,Megan,11,F
1990,John,12,M
1990,Emily,12,F
1990,Robert,13,M
1990,Nicole,13,F
1990,Nicholas,14,M
1990,Kayla,14,F
1990,Anthony,15,M
1990,Amber,15,F
1990,William,16,M
1990,Rachel,16,F
1990,Jonathan,17,M
1990,Courtney,17,F
1990,Kyle,18,M
1990,Danielle,18,F
1990,Brandon,19,M
1990,Heather,19,F
1990,Jacob,20,M
1990,Melissa,20,F
1990,Tyler,21,M
1990,Rebecca,21,F
1990,Zachary,22,M
1990,Michelle,22,F
1990,Kevin,23,M
1990,Tiffany,23,F
1990,Eric,24,M
1990,Chelsea,24,F
1990,Steven,25,M
1990,Christina,25,F
1990,Thomas,26,M
1990,Katherine,26,F
1990,Brian,27,M
1990,Alyssa,27,F
1990,Alexander,28,M
1990,Jasmine,28,F
1990,Jordan,29,M
1990,Laura,29,F
1990,Timothy,30,M
1990,Hannah,30,F
1990,Cody,31,M
1990,Kimberly,31,F
1990,Adam,32,M
1990,Kelsey,32,F
1990,Benjamin,33,M
1990,Victoria,33,F
1990,Aaron,34,M
1990,Sara,34,F
1990,Richard,35,M
1990,Mary,35,F
1990,Patrick,36,M
1990,Erica,36,F
1990,Sean,37,M
1990,Alexandra,37,F
1990,Charles,38,M
1990,Amy,38,F
1990,Stephen,39,M
1990,Crystal,39,F
1990,Jeremy,40,M
1990,Andrea,40,F
1990,Jose,41,M
1990,Kelly,41,F
1990,Travis,42,M
1990,Kristen,42,F
1990,Jeffrey,43,M
1990,Erin,43,F
1990,Nathan,44,M
1990,Brittney,44,F
1990,Samuel,45,M
1990,Anna,45,F
1990,Mark,46,M
1990,Taylor,46,F
1990,Jason,47,M
1990,Maria,47,F
1990,Jesse,48,M
1990,Allison,48,F
1990,Paul,49,M
1990,Cassandra,49,F
1990,Dustin,50,M
1990,Caitlin,50,F
1990,Gregory,51,M
1990,Lindsey,51,F
1990,Kenneth,52,M
1990,Angela,52,F
1990,Scott,53,M
1990,Alicia,53,F
1990,Derek,54,M
1990,Jamie,54,F
1990,Austin,55,M
1990,Katie,55,F
1990,Corey,56,M
1990,Vanessa,56,F
1990,Bryan,57,M
1990,Kathryn,57,F
1990,Ethan,58,M
1990,Morgan,58,F
